,x(m),z(m)
141,106.42126532610223,-697.6311670838917
142,107.40631531231148,-702.5287771842767
143,108.39597249605063,-707.4254425991147
144,109.39027931260449,-712.3211501951894
145,110.38927877322271,-717.2158865931337
146,111.3930144753327,-722.1096381616993
147,112.40153061297363,-727.002391011866
148,113.41487198745665,-731.8941309907887
149,114.43308401825772,-736.7848436755721
150,115.45621275414805,-741.6745143668743
151,116.4843048845689,-746.5631280823262
152,117.51740775125651,-751.4506695497669
153,118.55556936012411,-756.337123200285
154,119.59883839340654,-761.2224731610615
155,120.64726422207562,-766.1067032480078
156,121.7008969185321,-770.9897969581898
157,122.7597872695817,-775.8717374620339
158,123.82398678970299,-780.7525075953059
159,124.89354773461397,-785.6320898508548
160,125.9685231151457,-790.5104663701148
161,127.04896671143075,-795.3876189343574
162,128.13493308741474,-800.2635289556828
163,129.2264776056993,-805.1381774677443
164,130.32365644272573,-810.0115451161961
165,131.42652660430733,-814.8836121488528
166,132.53514594152074,-819.7543584055536
167,133.64957316696527,-824.6237633077186
168,134.76986787139936,-829.4918058475881
169,135.89609054076578,-834.358464577132
170,137.02830257361452,-839.2237175966201
171,138.16656629893666,-844.0875425428372
172,139.31094499455295,-848.9499165769041
173,140.46150291365907,-853.8108163698885
174,141.61830575464202,-858.6702179825545
175,142.781446378036,-863.5280906967597
176,143.95372701927818,-868.3914388184364
177,145.13448351467997,-873.2527164931681
178,146.32386674283572,-878.111871134554
179,147.52200052914853,-882.9688559571033
180,148.72901066370778,-887.8236229547431
181,149.9450255618294,-892.6761227076067
182,151.17017634749513,-897.5263043272791
183,152.4045969271747,-902.3741154027105
184,153.64842406578472,-907.2195019438333
185,154.90179746511185,-912.0624083227037
186,156.16485984479584,-916.902777212042
187,157.4377570259651,-921.7405495210385
188,158.72063801762155,-926.575664328286
189,160.01365510587473,-931.4080588116908
190,161.31696394612933,-936.2376681752053
191,162.63072365833335,-941.0644255722177
192,163.95509692539855,-945.8882620254233
193,165.2902500949089,-950.7091063429906
194,166.6363532842364,-955.5268850308287
195,167.99358048918782,-960.3415222007455
196,169.36210969631125,-965.152939474278
197,170.74212299899372,-969.9610558819594
198,172.13380671748794,-974.7657877577773
199,173.5373515230085,-979.5670486285596
200,174.9529525660439,-984.3647490980089
201,176.38080960903463,-989.1587967250903
202,177.82112716357253,-993.949095896459
203,179.2741146322804,-998.7355476925948
204,180.73998645553644,-1003.5180497472885
205,182.21896226321158,-1008.2964961001056
206,183.7112670315924,-1013.0707770414264
207,185.21713124566685,-1017.8407789496404
208,186.7367910669531,-1022.6063841200405
209,188.27048850705648,-1027.3674705849394
210,189.8184716071419,-1032.1239119244963
211,191.38099462351312,-1036.875577067712
212,192.95831821949088,-1041.62233008301
213,194.55070966378676,-1046.3640299577958
214,196.15844303556725,-1051.10053036633
215,197.7817994364054,-1055.8316794252248
216,199.42106720931602,-1060.5573194358142
217,201.07654216506765,-1065.2772866126118
218,202.74852781596286,-1069.9914107970067
219,204.43733561727277,-1074.699515155302
220,206.143285216505,-1079.401415860135
221,207.86670471067643,-1084.096921754258
222,209.6079309117501,-1088.7858339955874
223,211.36730962038314,-1093.4679456823662
224,213.14519590811366,-1098.1430414571923
225,214.9419544080965,-1102.8108970885974
226,216.7579596144699,-1107.471279028766
227,218.59359619040927,-1112.1239439458948
